Brand:,Product name,Processor,Video graphics,Video graphics Memorey,RAM,Hard drive,Display,Display Resolution,Display Refresh Rate,Operating System,Keyboard,Battery,Webcam,Connections,Dimensions,Weight,Colors,Warranty,Price,Processor Generation,Processor Details,Product number,Power supply type,Laptop Color,Finger Print,SUPPORT SSD M2,Pointing device,Optical drive,Series :
,D3500QC-OLED007T,Amd Ryzen 7-5800H,NVIDIA® GeForce® RTX™ 3050,4GB GDDR6,"16GB DDR4 on board, Memory Max Up to:16GB","512GB SSD, M.2 NVMe™ PCIe® 3.0","15.6"" Inch FHD, OLED 16:9 aspect ratio, 0.2ms response time, 600nits peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, SGS",FHD 1920 x 1080,,Windows 11 Home,Backlit Chiclet Keyboard with Num-key|1.35mm Key-travel,"63WHrs, 3S1P, 3-cell Li-ion",720p HD camera With privacy shutter,1x USB 3.2 Gen 1 Type-A|1x USB 3.2 Gen 1 Type-C|2x USB 2.0 Type-A|1x HDMI 1.4|1x 3.5mm Combo Audio Jack|1x DC-in|Micro SD card reader,359.8 x 235.3 x 19.9 mm,1.65 Kg,Quiet Blue,2 Years,48999,,"8-core/16-thread, 20MB cache, up to 4.4 GHz max boost",90NB0UT2-M01680,"ø4.5, 120W AC Adapter, Output: 19V DC, 6.3A, 120W, Input: 100~240V AC 50/60Hz universal",,,,,,
,GV301QC-K6024T,Amd Ryzen 9-5900HS,Nvidia GeForce RTX 3050,4GB GDDR6,"16GB, 2 x 8GB, LPDDR4X on board",1TB M.2 2230 NVMe™ PCIe® 3.0 SSD,"13.4:"" Inch WUXGA, glossy display sRGB: 116% Adobe: 86% DCI-P3: 85% Touch Screen IPS-level Pantone Validated Optimus",3840 x 2400,120 Hz,Dos,Backlit Chiclet Keyboard,"62WHrs, 4S1P, 4-cell Li-ion",720P HD camera,"""1x ROG XG Mobile Interface 1x USB 3.2 Gen 2 Type-A//2x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery//1x 3.5mm Combo Audio Jack""",299 x 222 x 15.8 mm,1.3 Kg,Off Black,2 Years,45200,,"8-core/16-thread, 20MB cache, up to 4.6 GHz max boost",90NR04G1-M000J0,100W AC Adapter,,Yes,,,,
Lenovo,IDEAPAD GAMING 3,AMD Ryzen™ 7-5800H,NVIDIA GeForce RTX 3050,"4GB GDDR6, Boost Clock 1500MHz, TGP 75W",1x 8GB SO-DIMM DDR4-3200,512GB M.2 NVMe™ PCIe® 3.0 SSD,"15.6"" Inch FHD, IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer",1920 x 1080,120 Hz,Dos,"White backlit, English (US)",Integrated 45Wh,720p with Privacy Shutter,2x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (support data transfer only) 1x HDMI 2.0 1x Ethernet (RJ-45) 1x Headphone / microphone combo jack (3.5mm) 1x Power connector,359.6 x 251.9 x 24.2 mm,2.25 Kg,Shadow Black,1 Year,27999,,"AMD Ryzen 7 5800H (8C / 16T, 3.2 / 4.4GHz, 4MB L2 / 16MB L3)",82K200QDAX,,,,Yes,Touchpad with multi-touch gesture support,,
,FX506HM-HN004T,Intel Core I7-11800H,Nvidia GeForce RTX 3060 6GB,6GB,"8GB, 2 x 4GB, DDR4-3200 SO-DIMM","512GB SSD, M.2 NVMe™ PCIe® 3.0","15.6"" Inch FHD",1920 x 1080,144 Hz,Dos,Backlit Chiclet Keyboard RGB,"90WHrs, 4S1P, 4-cell Li-ion",720P HD camera,"""1x RJ45 LAN port 1x Thunderbolt™ 4 support DisplayPort™ 3x USB 3.2 Gen 1 Type-A//1x 3.5mm Combo Audio Jack""",359 x 256 x 24.5 mm,2.3 Kg,Graphite Black,2 Years,35050,11th generation,"2.3 GHz up to 4.6 GHz, 24M Cache, 8 Cores",90NR0754-M004H0,,,,,,,
,G713QR-K4170T,Amd Ryzen 9-5900HX,Nvidia GeForce RTX 3070,8GB GDDR6,"32GB, 2 x 16GB, DDR4-3200 SO-DIMM","1TB SSD, M.2 NVMe™ PCIe® 3.0",17.3-inch with 300 Nits WQHD (2560 x 1440) 16:9 anti-glare display DCI-P3: 100.00% Refresh Rate: 165Hz Response Time: 3ms IPS-level Optimus,WQHD (2560 x 1440),165 HZ,Windows 10 Home,Backlit Chiclet Keyboard Per-Key RGB,"90WHrs, 4S1P, 4-cell Li-ion",FHD 1080P@60FPS external camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 1x USB 3.2 Gen 2 Type-C support displayport / power delivery / G-SYNC 3x USB 3.2 Gen 1 Type-A 1x RJ45 LAN port,395 x 282 x 28.3 mm,2.7 Kg,Eclipse Gray,2 Years,52000,,"3.3 GHz up to 4.6 GHz, 16M Cache",90NR05J2-M04940,240W AC Adapter,,,,,,
,G513QR-HF168T,Amd Ryzen 9-5900HX,Nvidia GeForce RTX 3070,16GB GDDR6,"16GB, 2 x 8GB DDR4-3200 SO-DIMM",1TB PCIE SSD,"15.6"" Inch FHD, 200 Nits, anti-glare display sRGB: 62.5% Adobe: 47.34% IPS-level Optimus",1920 x 1080,300Hz,Windows 10 Home,Backlit Chiclet Keyboard 4-Zone RGB,"90WHrs, 4S1P, 4-cell Li-ion",FHD 1080P@60FPS external camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery 1x RJ45 LAN port,354 x 259 x 27.2 mm,2.3 Kg,Eclipse Gray,2 Years,48649,,"3.3 GHz up to 4.6 GHz, 16M Cache",90NR0562-M06440,,,,,,,
,FX516PM-HN024W,Intel Core I7-11370H,Nvidia GeForce RTX 3060 6GB,6GB,"16GB, 8GB DDR4 on board + 8GB DDR4-3200 SO-DIMM,","1TB SSD, M.2 NVMe™ PCIe® 3.0","15.6"" Inch FHD,",1920 x 1080,144 Hz,Dos,Backlit Chiclet Keyboard,"76WHrs, 4S1P, 4-cell Li-ion",,"""1x RJ45 LAN port 1x Thunderbolt™ 4 support DisplayPort™ / power delivery 3x USB 3.2 Gen 1 Type-A//1x 3.5mm Combo Audio Jack""",360 x 252 x 19.9 mm,2 Kg,Eclipse Grey,2 Years,36999,11th generation,"3.3 GHz up to 4.8 GHz, 12M Cache, 4 cores",90NR05X1-M004N0,,,,,,,
,FX506HEB-BQ229T,Intel® Core™ i7-11800H,NVIDIA® GeForce RTX™ 3050 Ti Laptop GPU,4GB GDDR6,16GB DDR4-3200,512GB M.2 NVMe™ PCIe® 3.0 SSD,"15.6"" Inch FHD, 16:9, 60Hz",1920 x 1080,60 Hz,Windows 10 Home (64-bit) - Complimentary upgrade to Windows 11 Home,Backlit Chiclet Keyboard RGB,"48WHrs, 3S1P, 3-cell Li-ion",720P HD camera,"3x USB 3.2 (Gen 1) Type-A, 1x USB 3.2 (Gen 2) Type-C support DisplayPort™",359 x 256 x 24.5 mm,2.3 Kg,Eclipse Gray,2 Years,32450,11th generation,"2.3 GHz (24M Cache, up to 4.6 GHz, 8 Cores)",90NR0703-M05750,"ø6.0, 180W AC Adapter",,Yes,Yes,Touchpad with multi-touch gesture support,,
,Rog Zephyrus S17 GX703HS-K4048T,Intel® Core™ i9-11900H,NVIDIA® GeForce RTX™ 3080 16GB,16 GB,"32GB, 16GB DDR4 on board + 16GB DDR4-3200",2TB M.2 NVMe™ PCIe® 4.0 SSD,"17.3"" Inch, WQHD 16:9, 165Hz",2560 x 1440,165 HZ,Windows 10 Home,Optical Mech Keyboard Per-Key RGB Touchpad,"90WHrs, 4S1P, 4-cell Li-ion",720P HD camera,"1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 2x USB 3.2 Gen 2 Type-A 1x USB 3.2 Gen 2 Type-A 1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery 1x RJ45 LAN port 1x Thunderbolt™ 4 support DisplayPort™ / power delivery 1x card reader (SD) (UHS-II, 312M",394 x 264 x 19.9 mm,2.60 Kg,off black,2 Years,95800,11th generation,"3.3 GHz (12M Cache, up to 4.8 GHz, 4 cores)",90NR06F1-M01140,"ø6.0, 280W AC Adapter, Output: 20V DC, 14A, 280W, Input: 100~240C AC 50/60Hz universal",,Yes,Yes,Touchpad with multi-touch gesture support,,
MSI,Katana GF66 11UE,Intel® Core™ i7-11800H,NVIDIA® GeForce RTX™ 3060,6 GB DDR6,16 GB DDR4-3200 SO-DIMM,1 TB SSD,"15.6"" Inch FHD, 144Hz, IPS-Level",1920 x 1080,144 Hz,Windows 10 Home (Free upgrade to Windows 11),"Backlight Keyboard (Single-Color, Red)",3-Cell 53.5 Battery (Whr),HD type (30fps@720p),1x Type-C USB3.2 Gen1 2x Type-A USB3.2 Gen1 1x Type-A USB2.0 1x RJ45 1x (4K @ 60Hz) HDMI,359 x 259 x 24.9 mm,2.25 kg,Black,1 Year,31949,11th generation,"24M Cache, up to 4.60 GHz",,,,Yes,Yes,Touchpad with multi-touch gesture support,,
MSI,Katana GF66,Intel Core I7-11800H,Nvidia GeForce RTX 3060,6GB GDDR6,8GB Ram,512GB SSD,"15.6"" Inch FHD",1920 x 1080,,DOS,,3-Cell 53.5 Battery (Whr),HD type (30fps@720p),1x Type-C USB3.2 Gen1 2x Type-A USB3.2 Gen1 1x Type-A USB2.0 1x HDMI™ 2.1 (4K @ 60Hz) 1x RJ45,359 x 259 x 24.9 mm,2.25 kg,Black,1 year,27999,11th generation,"24M Cache, up to 4.60 GHz",,,,,,,,
,ROG Strix SCAR 15 G533  G533QS-HF242T,AMD Ryzen 9-5900HX,NVIDIA GeForce RTX™ 3080,8GB DDR6,32GB DDR4-3200 SO-DIMM x 2,1TB PCIE SSD,15.6-inch with 200 Nits WQHD (2560 x 1440) 16:9 anti-glare display DCI-P3: 100.00% Refresh Rate: 165Hz Response Time: 3ms IPS-level,200 Nits WQHD (2560 x 1440) 16:9,165 HZ,Win.10 Home free upgrade to Win.11,Optical Mech Keyboard Per-Key RGB Support NumberPad Touchpad,"90WHrs, 4S1P, 4-cell Li-ion",اف اتش دي 1080P60 اف بي اس كاميرا خارجيه,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery,354 x 259 x 22.6 mm,2.30 Kg,black,2 Years,72280,,"8-core/16-thread, 20MB cache, up to 4.6 GHz max boost",90NR0551-M04000,240W AC Adapter,,,نعم,,,
,FX706HC-212.TI53050,Intel® Core™ i5-11260H,NVIDIA® GeForce RTX™ 3050,4GB GDDR6,8GB DDR4,512GB M.2 NVMe™ PCIe® 3.0 SSD,17.3-Inch FHD 144Hz,1920 x 1080,144 Hz,windows 11,Full-size island-style keyboard with numeric keypad,,HD 720p with dual-array mic and physical shutter,,,,Eclipse Grey,1 Year,24100,11th generation,"Intel® Core™ i5-11260H Processor (12M Cache, up to 4.40 GHz)",,,,,Yes,Touchpad with multi-touch gesture support,,
,F15 FX506HM-HN002T,Intel Core i7-11800H,NVIDIA® GeForce RTX™ 3060,6GB GDDR6,16 ( 8GB DDR4 on board + 8GB DDR4-3200 SO-DIMM),1TB SSD,"15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:100.00%, Adobe:75.35%, Refresh Rate:240Hz, IPS-level, Optimus sRGB:62.5%, Adobe:47.34%, DCI-P3:N/A",1920 x 1080,144 Hz,windows 10,Full-size Keyboard ENG-AR (Backlit),"90WHrs, 4S1P, 4-cell Li-ion",HD 720p with dual-array mic and physical shutter,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A 1x RJ45 LAN port 1x Thunderbolt™ 4 support DisplayPort™ 1x USB 3.2 Gen 2 Type-C support DisplayPort™ Thunderbolt 4 not supported on FX506HCB/HEB,359 x 256 x 24.5 mm,2.30 Kg,ECLIPSE GRAY,1 Year,36550,11th generation,"Intel Core i7-11800H (8C / 16T, 2.3 / 4.6GHz, 24MB)",,200 W AC power adapter,,,Yes,Touchpad with multi-touch gesture support,,
,GU603HR-K8008T,Intel® Core™ i9-11900H,NVIDIA® GeForce RTX™ 3070,8GB GDDR6,32Gb DDR4-3200,1TB M.2 NVMe™ PCIe® 3.0 SSD,"15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Value IPS-level, Optimus",FHD (1920 x 1080),165 HZ,Windows 10 Home,Backlit Chiclet Keyboard RGB,"90WHrs, 4S1P, 4-cell Li-ion",720P HD camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A 1x RJ45 LAN port 1x Thunderbolt™ 4 support DisplayPort™ / power delivery,360 x 252 x 19.9 mm,2 Kg,Black,2 Years,99000,11th generation,"(24M Cache, up to 4.9 GHz, 8 Cores)",90NR04R1-M02560,200W AC Adapter,,,Yes,,,
MSI,GE66 RAIDER 11UH-227US,Intel Core i9-11980HK,Nvidia GeForce RTX 3080,16GB GDDR6,32GB DDR4-3200 SO-DIMM x 2,2TB Nvme SSD,"15.6"" UHD, Anti-Glare Wide View Angle 4K Thin Bezel, Adobe 100%",3840 x 2160,,Windows 10 Home,Per-Key RGB Backlight Keyboard,4-Cell 99.9 Battery (Whr),FHD type (30fps@1080p),1x Type-C (USB / DP / Thunderbolt™ 4) 1x Type-C USB3.2 Gen2 2x Type-A USB3.2 Gen1 1x Type-A USB3.2 Gen2 1x RJ45 1x SD Express 1x (8K @ 60Hz / 4K @ 120Hz) HDMI 1x Mini-DisplayPort,358 x 267 x 23.4 mm,2.38 kg,Titanium Blue,1 year,105000,11th generation,"24M Cache, up to 5.00 GHz",,,,,Yes,Touchpad with multi-touch gesture support,,
,GA503QS-HQ004T,Amd Ryzen 9 5900Hs,NVIDIA® GeForce RTX™ 3080,8GB GDDR6,16GB DDR4 on board + 16GB DDR4-3200 SO-DIMM,1TB M.2 NVMe™ PCIe® 3.0 SSD,"15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Value IPS-level, Optimus",FHD (2560 x 1440),165 HZ,Windows 10 Home,Backlit Chiclet Keyboard,"90WHrs, 4S1P, 4-cell Li-ion",,1x RJ45 LAN port 1x card reader (microSD) 2x USB 3.2 Gen 2 Type-A 2x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC//1x 3.5mm Combo Audio Jack,360 x 252 x 19.9 mm,2.00 Kg,Eclipse Gray,2 Years,100000,,"Processor 3.1 GHz (16M Cache, up to 4.5 GHz)",90NR04J2-M000V0,"ø6.0, 200W AC Adapter, Output: 20V DC, 10A, 200W, Input: 100-240V AC, 50/60Hz universal",,,Yes,,,
,FX516PM-HN023W,Intel® Core™ I7-11370H,NVIDIA® GeForce RTX™ 3060 Laptop GPU,6GB GDDR6,"8GB DDR4 on board, 8GB DDR4-3200 SO-DIMM",512GB M.2 NVMe™ PCIe® 3.0 SSD,"15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Value IPS-level, Optimus",FHD (1920 x 1080),144 Hz,Windows 10 Home,Full-size Keyboard ENG-AR (Backlit),"76WHrs, 4S1P, 4-cell Li-ion",HD 720p with dual-array mic and physical shutter,1x HDMI 2.0b Thunderbolt™ 4 1x Thunderbolt™ 4 support DisplayPort™ / power delivery 3x USB 3.2 Gen 1 Type-A//1x 3.5mm Combo Audio Jack,360 x 252 x 19.9 mm,2 Kg,ECLIPSE GRAY,2 Year,48000,11th generation,"Intel® Core™ i7-11370H Processor 3.3 GHz (12M Cache, up to 4.8 GHz, 4 cores)",90NR05X1-M000S0,180 Watt AC Adapter,,,Yes,Touchpad with multi-touch gesture support,,
,FX516PC-HN558T,Intel® Core™ i5-11300H,NVIDIA® GeForce RTX™ 3050 Laptop GPU,4GB GDDR6,8GB DDR4 on board,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6-inch,FHD (1920 x 1080) 16:9,144 Hz,windows 10,Full-size Keyboard ENG-AR (Backlit),"76WHrs, 4S1P, 4-cell Li-ion",HD 720p with dual-array mic and physical shutter,1x Thunderbolt™ 4 support DisplayPort™ / power delivery 3x USB 3.2 Gen 1 Type-A//1x 3.5mm Combo Audio Jack 1x HDMI 2.0b Thunderbolt™ 4,‎452 x 332 x 90 mm,2.30 Kg,Eclipse Gray,2 Year,38000,11th generation,"Intel® Core™ i5-11300H Processor 3.1 GHz (8M Cache, up to 4.4 GHz, 4 cores)",90NR05U1-M003R0,180 Watt AC Adapter,,,Yes,Touchpad with multi-touch gesture support,,
,FX516PC-HN001T,Intel® Core™ I7-11370H,NVIDIA® GeForce RTX™ 3050,4GB GDDR6,8GB DDR4-3200 SO-DIMM *2,512GB M.2 NVMe™ PCIe® 3.0 SSD,"Memory 8GB DDR4 on board, Max Capacity : 32GB  Storage 512GB M.2 NVMe™ PCIe® 3.0 SSD  I/O Ports 1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A 1x RJ45 LAN port 1x Thunderbolt™ 4 support DisplayPort™ / power delivery  Keyboard and Touchpad",1920 x 1080,144 Hz,Windows 10 Home,Full-size Keyboard ENG-AR (Backlit),"48WHrs, 3S1P, 3-cell Li-ion",,1x HDMI 2.0b Thunderbolt™ 4 1x Thunderbolt™ 4 support DisplayPort™ / power delivery 3x USB 3.2 Gen 1 Type-A//1x 3.5mm Combo Audio Jack,360 x 252 x 19.9 mm,2 Kg,Eclipse Grey,2 Year,42000,11th generation,"Intel® Core™ i7-11370H Processor 3.3 GHz (12M Cache, up to 4.8 GHz, 4 cores)",90NR05U1-M003P0,180 Watt AC Adapter,,,Yes,Touchpad with multi-touch gesture support,,
,A15 FA506IC-HN018T,AMD Ryzen™ 7-4800H,NVIDIA® GeForce RTX™ 3050,4GB GDDR6,16GB DDR4-3200 SO-DIMM,512GB M.2 NVMe™ PCIe® 3.0 SSD,"15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:62.5%, Adobe:47.34%, DCI-P3:Refresh Rate:144Hz, Value IPS-level",FHD (1920 x 1080),144 Hz,Windows 10 Home,Full-size Keyboard ENG-AR (Backlit),"48WHrs, 3S1P, 3-cell Li-ion",HD 720p with dual-array mic and physical shutter,1x 3.5mm Combo Audio Jack 1x HDMI 2.0b 3x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 2 Type-CWi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band) 2*2;(*BT version may change with OS upgrades.),359 x 256 x 22.8 mm,2.30 Kg,,2 Years,40000,,"AMD Ryzen™ 7 4800H Processor 2.9 GHz (8M Cache, up to 4.2 GHz)",90NR0666-M00670,180 Watt AC Adapter,,,Yes,Touchpad with multi-touch gesture support,,
Dell,G15 5515,AMD RYZEN 7 5800H,NVIDIA® GeForce RTX™ 3050 Ti 4GB GDDR6,4GB GDDR6,8GB DDR4-3200 SO-DIMM,512GB M.2 PCIe NVMe Solid State Drive,15.6 inch FHD 120Hz 250 nits WVA Anti- Glare LED Backlit Narrow Border Display,1920 X 1080,120 Hz,windows 11 home,Full-size island-style keyboard with numeric keypad,"3-Cell Battery,56WHR",720P HD camera,1. USB 2.0 | 2. USB 2.0 with PowerShare | 3. USB Type-C® | 4. SuperSpeed USB 3.2 | 5. HDMI | 6. Power In | 7. RJ45 Ethernet | 8. Headphones/Microphone,357.3 x 272.8 x 26.9 mm,2.57 kg,Phantom Grey,1 Year,40500,,"8 Core, 16 Thread, up to 4.4 GHz, 16MB",,180 Watt AC Adapter,Arctic Grey,,Yes,Touchpad with multi-touch gesture support,,
Lenovo,IDEAPAD GAMING 3,Intel® Core™ i7-10750H,NVIDIA® GeForce® GTX 1650TI,4GB,16 GB DDR4-2666 SDRAM,512GB,"15.6"" FHD IPS 250nits Anti-glare, 120Hz",1920 X 1080,120 Hz,WIN 10 Home,Full-size island-style keyboard with numeric keypad,Integrated 45Wh,720p with Privacy Shutter,2x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (support data transfer only) 1x HDMI 2.0 1x Ethernet (RJ-45) 1x Headphone / microphone combo jack (3.5mm) 1x Power connector,359 x 249.6 x 24.9 mm,2.2 kg,ONYX BLACK,1 Year,40000,10th generation,2.6 GHz up to 5.0 - 12 MB cache - 6 cores,,,,,Yes,Touchpad with multi-touch gesture support,,
Dell,Dell G15 5511,Intel Core i7-11800H,"Nvidia® GeForce® RTX™ 3060, 6 GB, GDDR6",6 GB GDDR6,"16 GB, 2 x 8 GB, Dual-Channel DDR4, 3200 MHz","512, M.2 2280, PCIe NVMe Gen3 x4, SSD","15.6"" FHD",1920 X 1080,120 Hz,Dos,Four-zone RGB keyboard,"6-cell (86 Wh) ""smart"" lithium-ion",HD 720p with dual-array mic and physical shutter,1. USB 3.2 Gen 1 | 2. USB 3.2 Gen 1 with PowerShare | 3. Thunderbolt 3/USB 3.2 Gen 1 Type-C port with DisplayPort with alt mode | 4. USB 3.2 Gen 1 | 5. HDMI | 6. Power in | 7. RJ45 | 8. Headphones/mic.,357.26 x 272.83 x 24.9 mm,2.65 kg,,1 year,48000,11th generation,"Intel® Core™ i7-11800H (24 MB Cache, 8 Core, 2.30 GHz to 4.60 GHz)",,,,,,Touchpad with multi-touch gesture support,,
Lenovo,IdeaPad Gaming 3 15IHU6,Intel® Core™ i5-11300H,NVIDIA® GeForce® RTX 3050Ti,4 GB,1x 16GB SO-DIMM DDR4-3200,512GB SSD M.2 2242 PCIe® 3.0x4 NVMe,"15.6"" FHD IPS 250nits Anti-glare, 45% NTSC, 120Hz",1920 X 1080,120 Hz,Dos,"White Backlit, Arabic",Integrated 45Wh,720p HD with Privacy Shutter,2x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (support data transfer only) 1x HDMI 2.0 1x Ethernet (RJ-45) 1x Headphone / microphone combo jack (3.5mm) 1x Power connector,359.6 x 251.9 x 24.2 mm,2.25 kg,Black,1 Year,33000,11th generation,"4 Cores, 8 Thread, 3.1 Up To 4.4GHz, 8MB",82K100F7ED,,,,,,,
Dell,Dell G15 5511,Intel Core i7-11800H,"Nvidia® GeForce® RTX™ 3050, 4GB, GDDR6",4 GB GDDR6,"16 GB, 2 x 8 GB, Dual-Channel DDR4, 3200 MHz",512GB M.2 NVMe™ PCIe® 3.0 SSD,"15.6-inch, FHD",1920 x 1080,120 Hz,Dos,Four-zone RGB keyboard,"6-cell (86 Wh) ""smart"" lithium-ion",HD 720p with dual-array mic and physical shutter,"Killer™ 1650i, 2x2, MIMO, 2400 Mbps, 2.4/5 GHz, Wi-Fi 6 (WiFi 802.11ax), Bluetooth 5.1",0.71 x 14.06 x 0.98 mm,2.65 kg,Black,1 year,45149,11th generation,"Intel® Core™ i7-11800H (24 MB Cache, 8 Core, 2.30 GHz to 4.60 GHz)",,,,,Yes,Touchpad with multi-touch gesture support,,
HP,15-ec1011nia,AMD Ryzen™ 7 4800H,NVIDIA GeForce GTX 1650 Ti 4 GB,4 GB GDDR6,8 GB RAM,1TB HDD + 256GB SSD,"39.6 cm (15.6"") diagonal FHD SVA anti-glare micro-edge WLED-backlit",1920 x 1080,60 Hz,DOS,Backlit,"3-cell, 41 Wh Li-ion",720p,Realtek RTL8821CE 802.11b/g/n/ac (1x1) and Bluetooth® 4.2 Combo,376 x 246 x 22.5 cm,1.85 kg,Black,1 Year,39000,,"8C / 16T, 2.9 / 4.2GHz, 4MB L2 / 8MB L3",,,,,,Touchpad with multi-touch gesture support,,
MSI,Creator 15M A10SE,Intel Core I7-10875H,NVIDIA GeForce RTX 2060,6GB GDRR6,32GB (16GBx2) Up to DDR4-3200 Memory Type 2 Slots Number of SO-DIMM Slot Max 64GB Max Capacity,1TB SSD M.2 SSD Combo slot (NVMe PCIe Gen3 / SATA),"15.6"" inch UHD 4k, IPS-Level 144 Hz",3840 x 2160,144 Hz,Windows 10 Home 64-bit FREE Upgrade to Windows 11,"Backlight Keyboard (Single-Color, White)","3 Cell, 51 Battery (Whr)",HD type (30fps@720p),"1x RJ45, 1x (4K @ 30Hz) HDMI, 2x Type-C USB3.2 Gen1, 2x Type-A USB3.2 Gen1, 1x Mic-in/Headphone-out Combo Jack",359 x 254 x 21.7 mm,1.86 kg,,1 year,60000,10th generation,2.3 GHz up to 5.1 - 12 MB cache - 8 cores,,180 Watt AC Adapter,,Yes,Yes,,,
Lenovo,IdeaPad GAMING 3 15IMH05,Intel® Core™ i7-10750H,NVIDIA GeForce GTX 1650TI 4 GB,4 GB GDDR6 dedicated,2x 8GB SO-DIMM DDR4-2933,"256GB SSD M.2 2242 PCIe 3.0x4 NVMe + 1TB HDD 5400rpm 2.5""","15.6"" FHD IPS 250nits Anti-glare",1920 x 1080,120 Hz,Free DOS,"Blue LED Backlit, Arabic",3 Cell Integrated Li-Polymer 45Wh battery,720p with Privacy Shutter,"Two USB 3.2 Gen 1, one USB 3.2 Type-C Gen 1, HDMI 2.0, Ethernet (RJ-45), AC power adapter jack, headphone / microphone combo jack",359 x 249.6 x 24.9 mm,2.2 kg,Onyx Black,1 Year,28888,10th generation,2.6 GHz up to 5.0 - 12 MB cache - 6 cores,81Y4010BED,135W Slim Tip,,NO,Yes,,NO,
Dell,inspiron 14 7440,Intel Core 7 150U,Intel Graphics,,2*8 DDR5 5600,512GB SSD,"14"", Touch, FHD+ 1920x1200, 60Hz, WVA, IPS, 250 nit, ComfortView",1920 x 1200,60 Hz,Windows 11 Home,,"4 Cell, 64 Wh, integrated",,2 USB Type-C® 3.2 Gen 2 (10 Gbps) with Power Delivery and DisplayPort™ 1.4 ports 2 USB 3.2 Gen 1 Type-A ports 1 Universal audio port 1 HDMI 1.4 port,314.00 x 226.15 x 15.97 mm,1.75 kg,Ice Blue,1 Year,40999,,"10 cores, up to 5.4 GHz",,,,,,,,
Lenovo,IdeaPad Slim 3 15IRH10,Intel® Core i7-13620H,Integrated Intel® UHD Graphics,,8GB Soldered DDR5-4800 + 8GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.3"" WUXGA IPS 300nits Anti-glare, 45% NTSC, 60Hz",1920x1200,60 Hz,Windows 11 Home,"Non-backlit, Arabic",50Wh,HD 720p with Privacy Shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 5Gbps / USB 3.2 Gen 1), with USB PD 3.0 and DisplayPort™ 1.2 1x HDMI® 1.4 1x Headphone / microphone combo jack (3.5mm) 1x SD card reader 1x Power connector",343.4 x 239.5 x 16.9-17.9 mm,1.59 kg,Luna Grey,2 Years,30999,13th generation,"10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",83K100F1ED,,,,,,,
